market_id,사용가능상품권,공중화장실보유여부,주차장보유여부
MKT000480,,Y,Y
MKT000481,,Y,Y
MKT000482,,Y,N
MKT000483,,Y,Y
MKT000484,,Y,Y
MKT000485,,Y,Y
MKT000486,,Y,Y
MKT000487,,Y,Y
MKT000488,,Y,Y
MKT000489,,Y,Y
MKT000490,,Y,Y
MKT000491,,Y,Y
MKT000492,,Y,Y
MKT000493,,Y,Y
MKT000494,,Y,Y
MKT000495,,Y,Y
MKT000496,,Y,Y
MKT000497,,Y,Y
MKT000498,,Y,Y
MKT000499,,Y,Y
MKT000500,,Y,Y
MKT000501,,Y,Y
MKT000502,,N,N
MKT000503,,Y,Y
MKT000504,,Y,Y
MKT000505,,Y,Y
MKT000506,,Y,Y
MKT000507,,Y,N
MKT000508,,Y,Y
MKT000509,,Y,Y
MKT000510,,Y,Y
MKT000511,,Y,Y
MKT000512,,Y,Y
MKT000513,,N,N
MKT000514,,Y,Y
MKT000515,,Y,Y
MKT000516,,Y,N
MKT000517,,Y,Y
MKT000518,,Y,N
MKT000519,,Y,Y
MKT000520,,Y,Y
MKT000521,,Y,Y
MKT000522,,Y,Y
MKT000523,,Y,Y
MKT000524,,Y,Y
MKT000525,,Y,Y
MKT000526,,Y,Y
MKT000527,,Y,Y
MKT000528,,Y,Y
MKT000529,,Y,Y
MKT000530,,Y,Y
MKT000531,,Y,Y
MKT000532,,Y,Y
MKT000533,,Y,Y
MKT000534,,Y,Y
MKT000535,,Y,Y
MKT000536,,Y,Y
MKT000537,,Y,Y
MKT000538,,Y,Y
MKT000539,,Y,Y
MKT000540,,Y,Y
MKT000541,,Y,Y
MKT000542,,Y,N
MKT000543,,Y,N
MKT000544,,Y,Y
MKT000545,,Y,Y
MKT000546,,Y,Y
MKT000547,,Y,Y
MKT000548,,Y,Y
MKT000549,,Y,Y
MKT000550,,Y,Y
MKT000551,,Y,N
MKT000552,,Y,N
MKT000553,,Y,Y
MKT000554,,Y,Y
MKT000555,,Y,Y
MKT000556,,N,N
MKT000557,,Y,Y
MKT000558,,Y,Y
MKT000559,,Y,Y
MKT000560,,Y,Y
MKT000561,,N,Y
MKT000562,,Y,Y
MKT000563,,Y,Y
MKT000564,,N,Y
MKT000565,,Y,Y
MKT000566,,Y,N
MKT000567,,Y,Y
MKT000568,,Y,Y
MKT000569,,Y,Y
MKT000570,,Y,Y
MKT000571,,Y,Y
MKT000572,,Y,Y
MKT000573,,Y,N
MKT000574,,Y,N
MKT000575,,Y,N
MKT000576,,Y,Y
MKT000577,,Y,N
MKT000578,,Y,Y
MKT000579,,Y,N
MKT000580,,Y,N
MKT000581,,Y,Y
MKT000582,,Y,Y
MKT000583,,Y,Y
MKT000584,,Y,N
MKT000585,,Y,Y
MKT000586,,Y,Y
MKT000587,,Y,Y
MKT000588,,Y,Y
MKT000589,,Y,Y
MKT000590,,Y,N
MKT000591,,Y,Y
MKT000592,,Y,Y
MKT000593,,Y,Y
MKT000594,,Y,Y
MKT000595,,Y,Y
MKT000596,,N,Y
MKT000597,,Y,Y
MKT000598,,Y,Y
MKT000599,,Y,Y
MKT000600,,Y,Y
MKT000601,,Y,Y
MKT000602,,Y,Y
MKT000603,,Y,N
MKT000604,,Y,N
MKT000605,,Y,Y
MKT000606,,N,N
MKT000607,,N,N
MKT000608,,Y,Y
MKT000609,,Y,Y
MKT000610,,Y,Y
MKT000611,,Y,Y
MKT000612,,Y,Y
MKT000613,,Y,Y
MKT000614,,Y,Y
MKT000615,,Y,Y
MKT000616,,Y,N
MKT000617,,Y,Y
MKT000618,,Y,N
MKT000619,,Y,Y
MKT000620,,Y,N
MKT000621,,N,N
MKT000622,,Y,Y
MKT000623,,Y,Y
MKT000624,,Y,Y
MKT000625,,Y,Y
MKT000626,,Y,Y
MKT000627,,Y,Y
MKT000628,,Y,Y
MKT000629,,Y,Y
MKT000630,,Y,N
MKT000631,,Y,Y
MKT000632,,Y,Y
MKT000633,,Y,N
MKT000634,,Y,N
MKT000635,,Y,N
MKT000636,,Y,Y
MKT000637,,Y,Y
MKT000638,,Y,Y
MKT000639,,N,Y
MKT000640,,Y,Y
MKT000641,,Y,Y
MKT000642,,N,N
MKT000643,,Y,Y
MKT000644,,Y,Y
MKT000645,,Y,Y
MKT000646,,Y,Y
MKT000647,,Y,Y
MKT000648,,Y,Y
