관광지ID,관광지명,위도,경도,주소
9d6742d8d671f34d4e3ea38b2cd9b377,대정5일시장,33.2204576,126.2483554,제주특별자치도 서귀포시 대정읍 신영로36번길 65
352bd8551475995d1165941c8b180975,대한불교진각종대명심인당,35.8495938,128.5797878,대구 남구 현충서길 128
4f093f8cede425dd4b454ef470ed998d,라이프온천,35.2508199,129.2187762,부산 기장군 기장읍 반송로 1650
9a15205c8fa91142e1ac6a2b1b14cfd2,미타선원,35.099023,129.0333928,부산 중구 광복로77번길 5
9f56f40ae42f47fea371ec07f403e988,법륜사,36.2942312,127.4523452,대전 중구 학고개로56번길 6
6e58f3c29749d46d87493a48cfd8de09,축산물명품관,35.4045149,127.3884623,전북특별자치도 남원시 소리길 100-8
3e7c4cde0a26e3de1888b1f0325623e3,포항신항,36.0055181,129.4144653,경북 포항시 남구 청림동 710-13
c75d87c54632d9a29ef81ced69c94a28,플레이원,36.6326657,127.385674,충북 청주시 흥덕구 강내면 청주역로 188-1
5bb815e2025e8a7d67505f0484429de6,대곶문화복지센터,37.6490738,126.581973,경기 김포시 대곶면 율생로 83-23
b3d0858fcb4630af25b192fbd785de37,도음산산림문화수련장,36.0809913,129.3031942,경북 포항시 북구 흥해읍 도음로 646
6a08e5f4968f75b20226d744235fc2e6,바오짐평촌점,37.3989982,126.9621681,경기 안양시 동안구 부림로 178
ce270df5ca33a45410881cd2f9b7946c,산본8단지,37.357852,126.919104,경기 군포시 수리산로 102
11762cbe075e4758e834ef4faf338523,서전주콜로세움아울렛,35.8219825,127.0895869,전북특별자치도 전주시 완산구 유연로 30
c630b042644e56917fd95b767d2d937c,수덕사,35.1418092,129.0484018,부산 동구 범상로15번길 10
247a67a4f979e658c973765f0962d01e,시립문수궁도장,35.5215657,129.3009328,울산 남구 남부순환도로 555
9dde5636a3405cea6e704d98add08bdd,신라면세점제주점,33.4862417,126.4875924,제주특별자치도 제주시 노연로 69
735b199ef7dd4fe063632e03fb2d01a7,신영시장,35.9856084,126.7201159,전북특별자치도 군산시 동신영길 56
79977e8cdd6cfb25bdac87183982687c,아남프라자,38.1972156,128.5775505,강원특별자치도 속초시 동해대로 4236
