관광지ID,업소명,분류,맛집시도,맛집시군구,현지인순위,외지인순위,원본맛집파일,표준시도,표준시군구,표준구
80b8f5833cd31081dc2192ed13bd66f4,육미천하,한식,충청북도,충주시,,75.0,충주시_현지인외지인맛집_최종.csv,충청북도,충주시,
80ba1d02921c8577e9a0e3efdda4b458,우리집팔당닭발본점,한식,경기도,남양주시,,86.0,남양주시_현지인외지인맛집_최종.csv,경기도,남양주시,
80beb0799f58b43b852a62ad2e2ef442,공원반점[중식],외국식,경상남도,창녕군,40.0,46.0,창녕군_현지인외지인맛집_최종.csv,경상남도,창녕군,
80c2f2e832f4a3c5303471f016f34117,석양삼겹살,한식,경상남도,창원시 마산합포구,78.0,65.0,창원시+마산합포구_현지인외지인맛집_최종.csv,경상남도,창원시,마산합포구
80c48070171cff6e6be0032d3e765081,자연밥상,한식,경기도,가평군,79.0,57.0,가평군_현지인외지인맛집_최종.csv,경기도,가평군,
80ce5373cae65a4df008d5282ea2aafb,주포수산민물장어,전문음식,전라남도,함평군,7.0,11.0,함평군_현지인외지인맛집_최종.csv,전라남도,함평군,
80cf8ad714ad6e3478ed95ba36d7bc9d,해탄화성안녕직영점,한식,경기도,화성시 병점구,55.0,46.0,화성시+병점구_현지인외지인맛집_최종.csv,경기도,화성시,병점구
80d0a638b66630f6487bf94f725707f0,영심이왕족발,전문음식,부산광역시,부산진구,69.0,55.0,부산진구_현지인외지인맛집_최종.csv,부산광역시,부산진구,
80d3cf4ad7485c54da12863827ddfd7a,가정초밥효자본점,외국식,경상북도,포항시 남구,61.0,44.0,포항시+남구_현지인외지인맛집_최종.csv,경상북도,포항시,남구
80d84783088787fb4b2ec05261d49238,올리빈에코시티점,전문음식,전북특별자치도,전주시 덕진구,73.0,,전주시+덕진구_현지인외지인맛집_최종.csv,전북특별자치도,전주시,덕진구
80da77375482172707497aafea833808,손의손칠곡북삼점,전문음식,경상북도,칠곡군,96.0,,칠곡군_현지인외지인맛집_최종.csv,경상북도,칠곡군,
80daabd74dad283e029f33f51fa86c37,총체보리한우촌,한식,전북특별자치도,김제시,41.0,34.0,김제시_현지인외지인맛집_최종.csv,전북특별자치도,김제시,
80dc6ea42bccfc3e2583db4904da0fb7,동명주말농장,전문음식,경상북도,칠곡군,89.0,39.0,칠곡군_현지인외지인맛집_최종.csv,경상북도,칠곡군,
80ea980f5fda844af706581d075b3d79,덕유산송어회,전문음식,전북특별자치도,무주군,37.0,36.0,무주군_현지인외지인맛집_최종.csv,전북특별자치도,무주군,
80eb34e69476c3d7e47676ec70544538,어드메,전문음식,경상남도,양산시,82.0,,양산시_현지인외지인맛집_최종.csv,경상남도,양산시,
80edf04af5589fc49361538d349e433d,천서리막국수,한식,경기도,이천시,,59.0,이천시_현지인외지인맛집_최종.csv,경기도,이천시,
80eeb1acedf65781671938159b00930e,이비가짬뽕부산중앙점 [중식],외국식,부산광역시,중구,,96.0,중구_현지인외지인맛집_최종.csv,부산광역시,중구,
80ef32932d21f883b673f6b3b074af30,부잣집보쌈,전문음식,경상남도,창녕군,19.0,27.0,창녕군_현지인외지인맛집_최종.csv,경상남도,창녕군,
80f3a7fc424f10aa6f505935a00e762b,사거리반점[중식],외국식,전라남도,무안군,54.0,39.0,무안군_현지인외지인맛집_최종.csv,전라남도,무안군,
80f8db670b3154f1362b385f1713498f,금강숯불닭갈비메밀막국수,전문음식,강원특별자치도,평창군,35.0,37.0,평창군_현지인외지인맛집_최종.csv,강원특별자치도,평창군,
80f8e692ec74f58f0d42fccb09af17fd,마이산풍경식당,한식,전북특별자치도,진안군,35.0,29.0,진안군_현지인외지인맛집_최종.csv,전북특별자치도,진안군,
8103166751a5e09185301814ddc711ef,백년유자1호점,카페/찻집,경상남도,남해군,93.0,81.0,남해군_현지인외지인맛집_최종.csv,경상남도,남해군,
8107333043f52f010b32f5a075a4d928,백로식당본점,한식,충청북도,청주시 흥덕구,91.0,40.0,청주시+흥덕구_현지인외지인맛집_최종.csv,충청북도,청주시,흥덕구
8107d5082872a8525b5357cdaf6069c5,은진쭈꾸미,전문음식,충청남도,논산시,36.0,41.0,논산시_현지인외지인맛집_최종.csv,충청남도,논산시,
810bdc3ba76efd027abb41eb906862dd,풍차,전문음식,전북특별자치도,김제시,39.0,29.0,김제시_현지인외지인맛집_최종.csv,전북특별자치도,김제시,
810c567cd3cc2f53d677c7ca9b280d50,조가네갑오징어융건릉점,전문음식,경기도,화성시 병점구,,70.0,화성시+병점구_현지인외지인맛집_최종.csv,경기도,화성시,병점구
810e7586641fba82dc2c7439f4af3392,전라도밥상어촌마을,한식,인천광역시,남동구,78.0,84.0,남동구_현지인외지인맛집_최종.csv,인천광역시,남동구,
811022c8fae5ca81edd51872234c3b91,도도한돼지,한식,강원특별자치도,정선군,82.0,98.0,정선군_현지인외지인맛집_최종.csv,강원특별자치도,정선군,
