시도,시군구,데이터개월수,시작년월,종료년월,데이터구분,신뢰도,최근월방문자수,최근3개월평균방문자수,직전3개월평균방문자수,최근3개월증가율,월평균추세기울기,상대추세기울기,최근3개월전년대비증감률,최근증가점수,장기추세점수,전년대비성장점수,로컬발견가능성,최근월증가율,최근월전년대비증감률,단기증가점수,단기전년대비점수,단기임시점수
경기도,안양시+동안구,2,202607,202608,2개월,낮음,3795424.0,,,,,,,,,,,0.37856608244668893,7.6,22.948322986845195,88.3415435139573,55.64
경기도,안양시+만안구,2,202607,202608,2개월,낮음,2677412.0,,,,,,,,,,,2.399849464405369,-0.7,27.88976112040383,81.5270935960591,54.71
경기도,양주시,2,202607,202608,2개월,낮음,3098879.0,,,,,,,,,,,5.917857306430036,-3.6,36.4902464654589,79.14614121510674,57.82
경기도,양평군,2,202607,202608,2개월,낮음,2908084.0,,,,,,,,,,,10.136841451461658,-6.4,46.80441088456988,76.84729064039408,61.83
경기도,여주시,2,202607,202608,2개월,낮음,2152899.0,,,,,,,,,,,9.41606789095082,-1.7,45.042333389964575,80.70607553366173,62.87
경기도,연천군,2,202607,202608,2개월,낮음,844025.0,,,,,,,,,,,10.42128922194545,-0.0,47.49980128485719,82.10180623973727,64.8
경기도,오산시,2,202607,202608,2개월,낮음,2769750.0,,,,,,,,,,,2.4845685750251056,3.3,28.0968742088476,84.8111658456486,56.45
경기도,용인시,2,202607,202608,2개월,낮음,12502234.0,,,,,,,,,,,2.6872306687226724,-0.4,28.592322896034432,81.77339901477832,55.18
경기도,용인시+기흥구,2,202607,202608,2개월,낮음,5266373.0,,,,,,,,,,,1.4296210910904839,-0.4,25.51784062427186,81.77339901477832,53.65
경기도,용인시+수지구,2,202607,202608,2개월,낮음,3262284.0,,,,,,,,,,,1.3081022967485165,-1.2,25.220763227967545,81.11658456486043,53.17
경기도,용인시+처인구,2,202607,202608,2개월,낮음,4652312.0,,,,,,,,,,,5.440281106876458,0.4,35.32271435926446,82.43021346469624,58.88
경기도,의왕시,2,202607,202608,2개월,낮음,2678235.0,,,,,,,,,,,0.9850266448123778,-3.7,24.430939118814408,79.06403940886699,51.75
경기도,의정부시,2,202607,202608,2개월,낮음,3878654.0,,,,,,,,,,,3.450718631885561,3.8,30.45882443132644,85.22167487684729,57.84
경기도,이천시,2,202607,202608,2개월,낮음,3291015.0,,,,,,,,,,,4.033122275504752,4.5,31.882628534892852,85.79638752052546,58.84
경기도,파주시,2,202607,202608,2개월,낮음,4615124.0,,,,,,,,,,,3.11176926105143,3.7,29.63019378936151,85.13957307060755,57.38
경기도,평택시,2,202607,202608,2개월,낮음,4932210.0,,,,,,,,,,,3.4389685736767843,5.2,30.430099025367724,86.37110016420363,58.4
경기도,포천시,2,202607,202608,2개월,낮음,2765808.0,,,,,,,,,,,13.537145151266113,2.4,55.117144525912266,84.07224958949098,69.59
경기도,하남시,2,202607,202608,2개월,낮음,5082970.0,,,,,,,,,,,3.4883706725704724,-3.7,30.550872499057764,79.06403940886699,54.81
경기도,화성시,2,202607,202608,2개월,낮음,10898500.0,,,,,,,,,,,2.398522251724572,21.8,27.88651647919677,100.0,63.94
경기도,화성시+동탄구,2,202607,202608,2개월,낮음,3951080.0,,,,,,,,,,,2.4825379879331915,,28.091910025903704,,
경기도,화성시+만세구,2,202607,202608,2개월,낮음,3739116.0,,,,,,,,,,,4.922093763600655,,34.05590005640841,,
경기도,화성시+병점구,2,202607,202608,2개월,낮음,1611792.0,,,,,,,,,,,-0.1799099149871462,,21.58301487862608,,
경기도,화성시+효행구,2,202607,202608,2개월,낮음,2197282.0,,,,,,,,,,,-0.5579265119183928,,20.658876460496884,,
경상남도,거제시,12,202509,202608,12개월,높음,2252796.0,2066499.3333333333,1859663.3333333333,11.122228216935325,11231.339160839181,0.5787288982693929,-4.4,44.89208713675995,41.600015500746984,11.947318908748821,34.02,,,,,
경상남도,거창군,12,202509,202608,12개월,높음,643790.0,555031.0,549160.3333333334,1.06902598573215,-11802.91258741256,-2.0385438867331565,-5.733333333333334,32.82808976541847,4.779109836203701,8.18438381937911,17.02,,,,,
경상남도,고성군,12,202509,202608,12개월,높음,946113.0,911762.6666666666,912882.6666666666,-0.12268827538259755,-3511.8251748251555,-0.38723998108088065,-3.366666666666667,31.39801431454814,28.010354848922198,14.863593603010344,25.42,,,,,
경상남도,김해시,12,202509,202608,12개월,높음,4150258.0,3978145.3333333335,4070332.0,-2.2648439160900513,-4906.891608391508,-0.12221962183167079,-1.1,28.827394583226358,31.738773874640607,21.26058325493885,27.43,,,,,
경상남도,남해군,12,202509,202608,12개월,높음,978145.0,833179.6666666666,770953.0,8.071395619015249,9819.006993006999,1.2809619831532113,-2.6,41.23104107449389,51.47932893005126,17.02728127939793,37.04,,,,,
경상남도,밀양시,12,202509,202608,12개월,높음,1386567.0,1271930.3333333333,1398652.3333333333,-9.060293039228,-5907.489510489533,-0.44371236200154496,-6.533333333333334,20.67275107031957,27.215877398024812,5.926622765757287,18.21,,,,,
경상남도,사천시,12,202509,202608,12개월,높음,1374034.0,1263055.6666666667,1289386.0,-2.0420830793364635,-1187.5034965034647,-0.0933899750583412,-4.866666666666667,29.094711015068537,32.14436159567055,10.630291627469422,24.47,,,,,
경상남도,산청군,12,202509,202608,12개월,높음,859579.0,708108.3333333334,649410.0,9.038717194581755,13173.877622377622,2.085033230407511,-1.1666666666666663,42.391841849858345,62.79134490040544,21.072436500470364,42.12,,,,,
경상남도,양산시,12,202509,202608,12개월,높음,3116662.0,3020768.0,3184610.6666666665,-5.144825657390664,-31589.496503496463,-0.9939476935262253,-8.266666666666666,25.371372177875433,19.474932949489148,1.034807149576671,16.3,,,,,
경상남도,의령군,12,202509,202608,12개월,높음,364476.0,356426.0,418265.0,-14.784646097569723,-5975.178321678319,-1.525712810267205,-1.0333333333333332,13.803439316685415,11.993835330848917,21.448730009407335,15.55,,,,,
