place_id,place_type,name,latitude,longitude,road_address,jibun_address
MKT000443,MARKET,서귀포매일올레시장,33.25014646,126.5632316,제주특별자치도 서귀포시 중앙로 62번길 18,제주특별자치도 서귀포시 서귀동 277-1
MKT000444,MARKET,서귀포향토오일시장,33.26778279,126.5737587,제주특별자치도 서귀포시 토평서로11번길 142,제주특별자치도 서귀포시 동홍동 779-1
MKT000445,MARKET,모슬포중앙시장,33.22207249,126.2545119,제주특별자치도 서귀포시 대정읍 상모로 327,제주특별자치도 서귀포시 대정읍 하모리 824-2
MKT000446,MARKET,대정오일시장,33.22061006,126.2482168,제주특별자치도 서귀포시 대정읍 신영로36번길 65,제주특별자치도 서귀포시 대정읍 하모리 1089-15
MKT000447,MARKET,진안고원시장,35.79264222,127.4296267,전북특별차치도 진안군 진안읍시장1길16,전북특별차치도 진안군 진안읍 군상리 406-7
MKT000448,MARKET,정읍연지시장,35.573166,126.8472538,전북특별차치도 정읍시 연지시장 3길 50-9외,전북특별차치도 정읍시 연지동 31-1
MKT000449,MARKET,신태인시장,35.68729453,126.8865644,전북특별차치도 정읍시 신태인읍 신태인2길 14,전북특별차치도 정읍시 신태인읍 신태인리 142-105
MKT000450,MARKET,굴비골영광시장(구 영광매일시장),35.27513263,126.5123207,전라남도 영광군 영광읍 중앙로3길 5-22,전라남도 영광군 영광읍 도동리 186
MKT000451,MARKET,무안전통시장,34.99348251,126.4724295,전라남도 무안군 무안읍 승달로 11,전라남도 무안군 무안읍 성내리 21-6
MKT000452,MARKET,남평5일시장,35.04581389,126.8415451,전라남도 나주시 남평읍 지석로 21,전라남도 나주시 남평읍 남평리 69-1
MKT000453,MARKET,연수송도역전시장,37.42645827,126.657697,인천광역시 연수구 한나루로196번길 14,인천광역시 연수구 옥련동 308-18
MKT000454,MARKET,거북시장,37.50338084,126.6749097,인천광역시 서구 거북로 117,인천광역시 서구 석남동 548-7
MKT000455,MARKET,신거북시장,37.50326747,126.6729889,인천광역시 서구 거북로99,인천광역시 서구 석남동 541-15
MKT000456,MARKET,장수시장,35.64910345,127.5174697,전북특별차치도 장수군 장수읍 시장로 11,전북특별차치도 장수군 장수읍 장수리 460-15
MKT000457,MARKET,장계시장,35.72943479,127.5822739,전북특별차치도 장수군 장계면 시장천변길 36,전북특별차치도 장수군 장계면 장계리 464-1
MKT000458,MARKET,산서시장,35.58450071,127.3958978,전북특별차치도 장수군 산서면 보산로 1864-11,전북특별차치도 장수군 산서면 동화리 839-73
MKT000459,MARKET,임실시장,35.61445375,127.2827133,전북특별차치도 임실군 임실읍 운수로 26,전북특별차치도 임실군 임실읍 이도리 233-1
MKT000460,MARKET,관촌시장,35.67877664,127.2676851,전북특별차치도 임실군 관촌면 사선1길 70-3,전북특별차치도 임실군 관촌면 관촌리 586
MKT000461,MARKET,강진시장,35.5290276,127.161009,전북특별차치도 임실군 강진면 호국로 14-12,전북특별차치도 임실군 강진면 갈담리 515-4
